"District","State","Yearcode","Ground_water_level","ID","SDP","gini"
"hingoli","maharashtra",2017,6.925,4772017,"1661065",0.27
"hingoli","maharashtra",2018,7.245,4772018,"1728578",0.27
"hingoli","maharashtra",2016,7.675,4772016,"1596121",0.27
"hingoli","maharashtra",2020,4.67666666666667,4772020,"1653094",0.27
"hingoli","maharashtra",2012,5.85333333333333,4772012,"1189711",0.27
"hingoli","maharashtra",2015,8.045,4772015,"1452513",0.27
"hingoli","maharashtra",2021,6.26,4772021,"-",0.27
"hingoli","maharashtra",2013,5.4375,4772013,"1267551",0.27
"hisar","haryana",2014,8.06,632014,"333359",0.3
"hisar","haryana",2015,7.8425,632015,"372700",0.3
"hisar","haryana",2017,8.1,632017,"434407",0.3
"hisar","haryana",2011,8.0825,632011,"289756",0.3
"hisar","haryana",2020,8.90666666666667,632020,"480471",0.3
"hisar","haryana",2019,7.87666666666667,632019,"507776",0.3
"hisar","haryana",2013,8.02,632013,"314931",0.3
"hisar","haryana",2018,8.918,632018,"470328",0.3
"hisar","haryana",2016,8.3275,632016,"412055",0.3
"hisar","haryana",2011,8.0825,632011,"271152",0.3
"hisar","haryana",2021,8.09,632021,"527733",0.3
"hoshangabad","madhya pradesh",2015,6.9475,4092015,"370716",0.34
"hoshangabad","madhya pradesh",2011,6.2925,4092011,"282371",0.34
